cand_id,rank,name,seed,when,metric,value
240,122,구립서대문노인전문요양센터,43,before,max_wait,219.67779541015625
240,122,구립서대문노인전문요양센터,43,before,pickup_mean,13.37494138913441
240,122,구립서대문노인전문요양센터,43,after,n_calls,3426.0
240,122,구립서대문노인전문요양센터,43,after,n_boarded,3127.0
240,122,구립서대문노인전문요양센터,43,after,wait_mean,17.570037841796875
240,122,구립서대문노인전문요양센터,43,after,wait_p50,12.034645080566406
240,122,구립서대문노인전문요양센터,43,after,wait_p90,36.836734771728516
240,122,구립서대문노인전문요양센터,43,after,n_abandoned,55.0
240,122,구립서대문노인전문요양센터,43,after,n_immediate,122.0
240,122,구립서대문노인전문요양센터,43,after,n_over60,32.0
240,122,구립서대문노인전문요양센터,43,after,max_wait,226.3304901123047
240,122,구립서대문노인전문요양센터,43,after,pickup_mean,12.934771582802155
598,244,당산노외,43,before,n_calls,6148.0
598,244,당산노외,43,before,n_boarded,5651.0
598,244,당산노외,43,before,wait_mean,15.512772560119629
598,244,당산노외,43,before,wait_p50,9.921039581298828
598,244,당산노외,43,before,wait_p90,31.99510383605957
598,244,당산노외,43,before,n_abandoned,73.0
598,244,당산노외,43,before,n_immediate,200.0
598,244,당산노외,43,before,n_over60,52.0
598,244,당산노외,43,before,max_wait,223.08721923828125
598,244,당산노외,43,before,pickup_mean,12.064429849000838
598,244,당산노외,43,after,n_calls,6148.0
598,244,당산노외,43,after,n_boarded,5661.0
598,244,당산노외,43,after,wait_mean,15.136812210083008
598,244,당산노외,43,after,wait_p50,9.703499794006348
598,244,당산노외,43,after,wait_p90,31.675315856933594
598,244,당산노외,43,after,n_abandoned,63.0
598,244,당산노외,43,after,n_immediate,200.0
598,244,당산노외,43,after,n_over60,44.0
598,244,당산노외,43,after,max_wait,227.89964294433594
598,244,당산노외,43,after,pickup_mean,12.063850369897219
411,1,마천동1(건축물식)(구),44,before,n_calls,1961.0
411,1,마천동1(건축물식)(구),44,before,n_boarded,1792.0
411,1,마천동1(건축물식)(구),44,before,wait_mean,18.640432357788086
411,1,마천동1(건축물식)(구),44,before,wait_p50,12.60101318359375
411,1,마천동1(건축물식)(구),44,before,wait_p90,39.732852935791016
411,1,마천동1(건축물식)(구),44,before,n_abandoned,41.0
411,1,마천동1(건축물식)(구),44,before,n_immediate,64.0
411,1,마천동1(건축물식)(구),44,before,n_over60,62.0
411,1,마천동1(건축물식)(구),44,before,max_wait,147.64468383789062
411,1,마천동1(건축물식)(구),44,before,pickup_mean,13.192681690011208
411,1,마천동1(건축물식)(구),44,after,n_calls,1961.0
411,1,마천동1(건축물식)(구),44,after,n_boarded,1800.0
411,1,마천동1(건축물식)(구),44,after,wait_mean,16.85628890991211
411,1,마천동1(건축물식)(구),44,after,wait_p50,10.550477981567383
411,1,마천동1(건축물식)(구),44,after,wait_p90,36.290069580078125
411,1,마천동1(건축물식)(구),44,after,n_abandoned,33.0
411,1,마천동1(건축물식)(구),44,after,n_immediate,63.0
411,1,마천동1(건축물식)(구),44,after,n_over60,48.0
411,1,마천동1(건축물식)(구),44,after,max_wait,147.64468383789062
411,1,마천동1(건축물식)(구),44,after,pickup_mean,12.286675069728787
240,122,구립서대문노인전문요양센터,44,before,n_calls,3426.0
240,122,구립서대문노인전문요양센터,44,before,n_boarded,3140.0
240,122,구립서대문노인전문요양센터,44,before,wait_mean,17.648944854736328
240,122,구립서대문노인전문요양센터,44,before,wait_p50,12.675682067871094
240,122,구립서대문노인전문요양센터,44,before,wait_p90,36.165645599365234
240,122,구립서대문노인전문요양센터,44,before,n_abandoned,54.0
240,122,구립서대문노인전문요양센터,44,before,n_immediate,118.0
240,122,구립서대문노인전문요양센터,44,before,n_over60,16.0
240,122,구립서대문노인전문요양센터,44,before,max_wait,137.67160034179688
240,122,구립서대문노인전문요양센터,44,before,pickup_mean,13.321453699412109
240,122,구립서대문노인전문요양센터,44,after,n_calls,3426.0
240,122,구립서대문노인전문요양센터,44,after,n_boarded,3145.0
240,122,구립서대문노인전문요양센터,44,after,wait_mean,17.004560470581055
240,122,구립서대문노인전문요양센터,44,after,wait_p50,12.034645080566406
240,122,구립서대문노인전문요양센터,44,after,wait_p90,34.95714569091797
