timeline,survival,cum_abandon,n_at_risk
0.0,1.0,0.0,1478844
0.5,1.0,0.0,1478844
1.0,1.0,0.0,1478844
1.5,0.9937355750879419,0.006264424912058142,1430092
2.0,0.9905429187702411,0.009457081229758857,1362140
2.5,0.988278675637062,0.011721324362938046,1298304
3.0,0.9863590450411488,0.013640954958851204,1246463
3.5,0.9846172649840222,0.015382735015977755,1203084
4.0,0.9829915642649483,0.01700843573505173,1165393
4.5,0.9814891635802194,0.018510836419780574,1131435
5.0,0.9800560488517482,0.01994395114825176,1100306
5.5,0.9786184473461628,0.021381552653837232,1070782
6.0,0.9772679833505133,0.022732016649486653,1043148
6.5,0.9760016087512419,0.023998391248758133,1016462
7.0,0.9746789638884233,0.025321036111576656,990583
7.5,0.9733614696481573,0.026638530351842715,965264
8.0,0.9720181844056811,0.027981815594318893,939515
8.5,0.970694668824793,0.02930533117520695,912089
9.0,0.9692948414867347,0.030705158513265274,869416
9.5,0.9679664217076704,0.032033578292329556,811797
10.0,0.9666344027898978,0.03336559721010224,765270
10.5,0.9653988298169217,0.03460117018307829,737745
11.0,0.9640438532615827,0.035956146738417294,718189
11.5,0.9626817997840192,0.03731820021598076,701542
12.0,0.9613454488593738,0.038654551140626214,686253
12.5,0.9600224183473565,0.039977581652643535,671995
13.0,0.9588113865183336,0.04118861348166636,658746
13.5,0.9574708269932858,0.042529173006714216,646146
14.0,0.9562090169418922,0.0437909830581078,633807
14.5,0.954823680395319,0.04517631960468105,621867
15.0,0.9534424628257324,0.04655753717426758,610343
15.5,0.9520559844763941,0.04794401552360594,599323
16.0,0.9507360054033124,0.04926399459668762,588386
16.5,0.9493651877547137,0.05063481224528632,577428
17.0,0.9480252977958776,0.05197470220412237,566764
17.5,0.9466752902554919,0.05332470974450809,556219
18.0,0.9452954347124801,0.05470456528751988,546229
18.5,0.9439361832661761,0.05606381673382388,536664
19.0,0.9425086126859888,0.057491387314011155,527421
19.5,0.9410777978340674,0.05892220216593258,518621
20.0,0.939552710459165,0.060447289540835,509942
20.5,0.9381528419832184,0.061847158016781645,501651
21.0,0.9367167025970398,0.06328329740296024,493486
21.5,0.9353301568137927,0.06466984318620728,485368
22.0,0.9339461267812404,0.06605387321875955,477720
22.5,0.9324358000119604,0.06756419998803964,470182
23.0,0.9310289937032986,0.06897100629670139,462707
23.5,0.9295313540641711,0.07046864593582891,455408
24.0,0.9280331254923103,0.07196687450768968,448295
24.5,0.9266050841205964,0.07339491587940361,441301
25.0,0.9252306094806543,0.07476939051934572,434387
25.5,0.9237395382477601,0.07626046175223988,427591
26.0,0.9221820518978842,0.07781794810211584,420859
26.5,0.9207566532735605,0.07924334672643951,414281
27.0,0.9192766917372085,0.0807233082627915,407800
27.5,0.9177810969950149,0.08221890300498513,401539
28.0,0.9163198630724473,0.08368013692755272,395277
28.5,0.9149026192768155,0.08509738072318451,389089
29.0,0.9133992618096046,0.08660073819039538,383086
29.5,0.9119701315167748,0.08802986848322525,376993
30.0,0.9104571760473672,0.0895428239526328,371124
30.5,0.9086898717903387,0.09131012820966133,365175
31.0,0.9066770676162474,0.09332293238375255,359202
31.5,0.9047599166926822,0.09524008330731781,353315
32.0,0.9030502468869217,0.0969497531130783,347613
32.5,0.901440727765954,0.09855927223404604,342142
33.0,0.8996972196101273,0.10030278038987273,336613
33.5,0.8981654797219564,0.10183452027804363,331256
34.0,0.8967128786863826,0.10328712131361739,326092
34.5,0.8951751006233309,0.10482489937666906,320739
35.0,0.8936084430003164,0.10639155699968361,315437
35.5,0.8921131862883058,0.10788681371169417,310359
36.0,0.8906165860298687,0.1093834139701313,305420
36.5,0.8891300656201413,0.1108699343798587,300446
37.0,0.8875588957145777,0.11244110428542231,295582
37.5,0.8861486993494572,0.11385130065054283,290718
38.0,0.8845667378652757,0.11543326213472427,285995
38.5,0.8829989594520163,0.11700104054798366,281218
39.0,0.8814237519493033,0.11857624805069666,276647
39.5,0.8799436805787905,0.12005631942120953,272049
40.0,0.8783760976442357,0.12162390235576426,267594
40.5,0.8768906886622145,0.12310931133778547,263127
41.0,0.8753961020095392,0.12460389799046079,258682
41.5,0.8738884886016611,0.12611151139833887,254368
42.0,0.8723279407930268,0.12767205920697322,250099
42.5,0.8709993852705752,0.1290006147294248,245912
43.0,0.8694639520018851,0.1305360479981149,241682
43.5,0.8680355086763439,0.13196449132365606,237678
44.0,0.8666774001172679,0.1333225998827321,233670
44.5,0.8652007468051959,0.13479925319480413,229753
45.0,0.8637547883152997,0.13624521168470027,225850
45.5,0.8622394703039034,0.13776052969609665,221952
46.0,0.8607554077152663,0.13924459228473374,218043
46.5,0.8592714899656785,0.14072851003432152,214174
47.0,0.8576499932535689,0.14235000674643106,210466
47.5,0.8561548543540821,0.14384514564591788,206802
48.0,0.8546523933434088,0.1453476066565912,203159
48.5,0.8532360325512587,0.14676396744874132,199600
49.0,0.8519091303608867,0.14809086963911333,196228
49.5,0.85036386903349,0.14963613096650996,192640
50.0,0.849051109220516,0.15094889077948404,189275
50.5,0.8475999750565452,0.15240002494345484,185960
51.0,0.846220098698309,0.15377990130169095,182542
51.5,0.8447054862942454,0.15529451370575464,179204
52.0,0.8431558275275932,0.15684417247240678,175870
52.5,0.8416673311106844,0.15833266888931563,172666
53.0,0.8403099441542524,0.15969005584574758,169477
53.5,0.8388401501217507,0.16115984987824927,166374
54.0,0.8372238231563384,0.16277617684366164,163302
54.5,0.8357817366795232,0.16421826332047684,160307
55.0,0.8342844660569773,0.16571553394302274,157369
55.5,0.8326848461397144,0.16731515386028561,154405
56.0,0.831384939854381,0.168615060145619,151518
56.5,0.8299290419693689,0.1700709580306311,148690
57.0,0.8282902919654366,0.17170970803456342,145866
57.5,0.8268628970824636,0.17313710291753637,143067
58.0,0.825580281668856,0.174419718331144,140317
58.5,0.8241434720882242,0.17585652791177575,137466
59.0,0.8226360055938866,0.1773639944061134,134568
59.5,0.8211974165321381,0.17880258346786193,131775
60.0,0.8198826757601063,0.18011732423989368,129093
60.5,0.8181760216083214,0.18182397839167863,126297
61.0,0.816212915435759,0.18378708456424098,123371
61.5,0.8141875057040875,0.1858124942959125,120573
62.0,0.8124140349108642,0.18758596508913583,117899
62.5,0.8107641636378025,0.18923583636219754,115169
63.0,0.8090757351350902,0.19092426486490977,112516
63.5,0.8076284445532587,0.19237155544674134,109941
64.0,0.8061570955852255,0.19384290441477448,107373
64.5,0.804736256630648,0.19526374336935204,104837
65.0,0.803129743306264,0.19687025669373603,102355
65.5,0.8015505616845905,0.1984494383154095,99858
66.0,0.799999997973719,0.200000002026281,97441
66.5,0.79869513195528,0.20130486804472003,94965
67.0,0.7974363143469504,0.2025636856530496,92628
67.5,0.7961369180673346,0.20386308193266545,90287
68.0,0.7947533587255443,0.2052466412744557,88003
68.5,0.7933914862328632,0.20660851376713685,85701
69.0,0.7920224864879609,0.20797751351203908,83339
69.5,0.7906374103683955,0.20936258963160448,81092
70.0,0.7891752901455243,0.21082470985447566,78916
70.5,0.7877665035201502,0.2122334964798498,76692
71.0,0.7864121590015355,0.2135878409984645,74581
71.5,0.7852795773429987,0.2147204226570013,72575
72.0,0.7837559373055347,0.21624406269446528,70536
72.5,0.7825180287620969,0.21748197123790314,68611
73.0,0.7813732870235872,0.21862671297641278,66758
73.5,0.7801626856476774,0.21983731435232257,64877
74.0,0.7789786729027339,0.22102132709726607,62959
74.5,0.7777006604895244,0.22229933951047565,61220
75.0,0.776464289834477,0.22353571016552298,59474
75.5,0.7752475259261907,0.22475247407380927,57782
76.0,0.7739284776871943,0.2260715223128057,56137
76.5,0.7724467677924194,0.2275532322075806,54525
77.0,0.7714995825696546,0.22850041743034544,53086
77.5,0.7704510612724882,0.2295489387275118,51491
78.0,0.7691002039655136,0.2308997960344864,50030
78.5,0.7679466849593265,0.2320533150406735,48572
79.0,0.7663273478499877,0.23367265215001232,47169
79.5,0.7648762304495033,0.23512376955049674,45801
80.0,0.763878341497532,0.23612165850246802,44534
80.5,0.7627822065645641,0.23721779343543592,43301
81.0,0.7615836934088707,0.23841630659112933,42078
81.5,0.7603734375326645,0.2396265624673355,40878
82.0,0.759052416636199,0.24094758336380095,39694
82.5,0.7579879698000643,0.24201203019993567,38642
83.0,0.7568533519590716,0.24314664804092845,37552
83.5,0.7553387299019835,0.24466127009801653,36476
84.0,0.754182897047372,0.24581710295262804,35408
84.5,0.7526323224706981,0.2473676775293019,34408
85.0,0.7509914124189647,0.24900858758103528,33439
85.5,0.7496476810662439,0.2503523189337561,32508
86.0,0.7483403774087526,0.2516596225912474,31568
86.5,0.7468026754053412,0.2531973245946588,30704
87.0,0.7455190934522032,0.25448090654779676,29847
87.5,0.744327869591446,0.25567213040855397,29029
88.0,0.7431314674224433,0.2568685325775567,28271
88.5,0.7420634817552624,0.2579365182447376,27462
89.0,0.7411587169869533,0.25884128301304665,26769
89.5,0.7400660253889353,0.2599339746110647,26009
90.0,0.7385392574354654,0.26146074256453455,25295
90.5,0.7371218348731525,0.2628781651268475,24630
91.0,0.7353045391791811,0.26469546082081885,23923
91.5,0.7335019135528779,0.26649808644712214,23306
92.0,0.7323547059004792,0.26764529409952076,22693
92.5,0.7311119430115851,0.2688880569884149,22077
93.0,0.7296683637623383,0.27033163623766165,21454
93.5,0.7284972054818714,0.27150279451812864,20819
94.0,0.7272576188960715,0.27274238110392846,20306
94.5,0.7258770329488021,0.2741229670511979,19694
95.0,0.7247949950760245,0.2752050049239755,19171
95.5,0.7237253955970862,0.27627460440291385,18715
96.0,0.7222341291778802,0.2777658708221198,18168
96.5,0.7209026389958519,0.27909736100414806,17678
97.0,0.7195390033580874,0.2804609966419126,17169
97.5,0.718517839608223,0.281482160391777,16726
98.0,0.7174310367310404,0.28256896326895964,16308
98.5,0.7164983157902297,0.2835016842097703,15964
99.0,0.7154014381388728,0.2845985618611272,15514
99.5,0.7142304009981713,0.28576959900182874,15062
100.0,0.712692133449525,0.287307866550475,14669
100.5,0.7117558597615566,0.28824414023844336,14280
101.0,0.7107922352022448,0.28920776479775523,13855
