cand_id,cand_name,gu,dongs,n_seed,n_dong_scope,n_calls_scope,before,delta,rate_pct,rate_sd,rate_lo,rate_hi,interval,sample_ok,total_delta_min,n_overlap,rank_rate,rank_total,rate_total_pct,rate_total_sd,before_total,after_total,obs_total_min,sim_obs_ratio,ref_grade,ref_gap_prev,ref_threshold_prev
411,마천동1(건축물식)(구),송파구,송파구 마천1동,3,9,1777,13.170538582370634,-1.1277324173403098,-8.565967081146445,1.5099997725642975,-10.701429238687163,-6.430504923605726,-8.57% ± 2.14%p,False,-2003.9805056137307,24,1,64,-10.989884932643418,1.307892876540484,18.666926701863606,16.61591339111328,42.272950909381684,0.44158087619383185,상,,
380,강일동 주차장(구),강동구,강동구 강일동 · 강동구 고덕2동,3,6,2382,13.237076226069737,-1.0943124338740702,-8.26653727582804,0.26536494331465416,-8.641819977641992,-7.89125457401409,-8.27% ± 0.38%p,True,-2606.652217488035,4,2,9,-10.497950762701018,0.6475806365496538,18.196102142333984,16.28657341003418,37.18939604860312,0.48928200174461967,상,0.2994298053184039,3.066279743457612
577,내곡동 (임시) 공영주차장(구),서초구,서초구 내곡동,3,2,666,15.996446713474894,-1.319554447841319,-8.236981631197862,1.8794039379371308,-10.894860169405955,-5.579103092989769,-8.24% ± 2.66%p,False,-878.8232622623185,39,3,234,-9.026900544064853,2.467948576185401,19.559619903564453,17.788057327270508,51.59591559207801,0.37909240836434777,상,0.02955564463017879,3.7960915242254023
473,거여동 거주자상생주차장(구),송파구,송파구 거여2동,3,9,1777,13.170538582370634,-1.044847086266974,-7.933278025811639,0.11030825551206698,-8.08927745679852,-7.7772785948247565,-7.93% ± 0.16%p,False,-1856.693272296413,4,4,93,-9.964895427331681,0.8676499899896041,18.666926701863606,16.80668067932129,42.272950909381684,0.44158087619383185,상,0.30370360538622343,3.765276655528892
274,마천2동청사,송파구,송파구 거여1동 · 송파구 마천2동,3,12,2003,13.18363958954908,-0.9232705200051594,-7.004227018456407,0.19015035174428224,-7.273140224783186,-6.735313812129629,-7.00% ± 0.27%p,True,-1849.3108515703343,14,5,94,-9.068150517779285,1.0550390770522637,18.82196299235026,17.114573796590168,42.61145895225567,0.44171130149379473,하,0.9290510073552314,0.4396592658074646
441,시흥3동 공영주차장(구),금천구,금천구 시흥3동 · 금천구 시흥5동,3,10,1678,13.077153676587544,-0.8941068338311862,-6.836347827799131,0.1423043236885575,-7.03759653234382,-6.6350991232544425,-6.84% ± 0.20%p,False,-1500.3112671687304,15,6,169,-8.698506290394901,0.5466263551335675,17.941757202148438,16.37999725341797,47.918567788021605,0.37442181664355606,하,0.16787919065727586,0.4750060075785653
412,장지동공영(체비지)(구),송파구,송파구 가락2동 · 송파구 장지동,3,14,2331,13.239888037241613,-0.8783954702617276,-6.636936886879437,0.8878234793340395,-7.892508892346905,-5.381364881411969,-6.64% ± 1.26%p,True,-2047.539841180087,46,7,53,-8.88327934415701,1.4687585348380883,18.55573336283366,16.90817705790202,41.82344795219839,0.44366818785581025,하,0.19941094091969447,1.798311486920169
488,은평 한문화 공영주차장 (구),은평구,은평구 진관동,3,6,1789,13.926411240500258,-0.9092422143987987,-6.529961540527765,0.47173840966981856,-7.197100397375137,-5.862822683680393,-6.53% ± 0.67%p,False,-1626.6343215594509,30,8,145,-8.888707550630759,0.6958450550817634,19.801327387491863,18.03793462117513,40.45042689454784,0.4895208507715603,하,0.10697534635167205,2.0107388270132045
299,서울우면동우체국,서초구,서초구 양재1동,3,7,1517,14.757539930955716,-0.9076052491244333,-6.149932183176659,0.12011756936152693,-6.319804078847022,-5.980060287506297,-6.15% ± 0.17%p,False,-1376.8371629217654,27,9,190,-7.607443124495288,0.2875123380514398,18.23063023885091,16.842830022176106,55.501910160711354,0.3284685191205544,하,0.38002935735110555,0.9735817533769433
443,상인회주차장(구),금천구,금천구 시흥1동,3,13,2151,12.91339063652215,-0.7924252612391024,-6.133843259147465,0.6120470950456824,-6.999408561772124,-5.268277956522806,-6.13% ± 0.87%p,True,-1704.5067369253093,51,10,123,-7.501630866972833,1.2637923193955356,17.927218755086262,16.58359654744466,47.54888818829747,0.3770270859771319,하,0.016088924029194374,1.2474451924203802
