주차장명,주소,자치구,법정동,법정동코드,면수,위도,경도,소스,공공근거,UPIS대분류,UPIS시설명,고시번호,옥내외,옥내자주,옥외자주,현행차고지,현행차고지거리m,운영시간,급지,이용효율
종암동 복합청사,서울특별시 성북구 종암동  16-8,성북구,종암동,11290135,12.0,37.5989989907,127.0351087098,KOTSA,U_UPIS,공공청사,공공청사,11000NTC200902122803,혼합,11.0,1.0,,,,,
성북동주민센터,서울특별시 성북구 성북동1가  117-1,성북구,성북동1가,11290102,44.0,37.5909529067,127.0032564114,KOTSA,U_UPIS,공공청사,"청사(공공업무시설,근린공공시설)",11000NTC199801137590,혼합,39.0,5.0,,,,,
아르코예술극장,서울특별시 종로구 동숭동  1-111,종로구,동숭동,11110168,30.0,37.5811969624,127.0029752199,KOTSA,U_UPIS,공공청사,문화회관대강당,,옥외,0.0,30.0,,,,,
아르코 미술관,서울특별시 종로구 동숭동  1-130,종로구,동숭동,11110168,22.0,37.5800905419,127.0029797043,KOTSA,U_UPIS,공공청사,한국문화예술진흥원,11000NTC198603147675,옥외,0.0,22.0,,,,,
광희빌딩,서울특별시 종로구 내자동  186,종로구,내자동,11110114,13.0,37.5750306825,126.9711830474,KOTSA,U_UPIS,공공청사,공공청사,11110NTC202509230001,옥외,0.0,13.0,,,,,
신도초등학교,서울특별시 은평구 진관동  108,은평구,진관동,11380114,58.0,37.6342884196,126.9145681559,KOTSA,U_UPIS,공공청사,공공청사,11000NTC201105126084,옥외,0.0,58.0,,,,,
신도중학교,서울특별시 은평구 진관동  115,은평구,진관동,11380114,53.0,37.6333831049,126.9135722279,KOTSA,U_UPIS,공공청사,공공청사,11000NTC201105126084,옥외,0.0,53.0,,,,,
갈현2동주민센터 및 자치회관,서울특별시 은평구 갈현동  502-3,은평구,갈현동,11380104,10.0,37.6186013602,126.9158456595,KOTSA,U_UPIS,공공청사,갈현2동사무소,11000NTC200505068119,옥외,0.0,10.0,,,,,
구산동도서관마을,서울특별시 은평구 구산동  17-37,은평구,구산동,11380105,13.0,37.6095534177,126.9130607154,KOTSA,U_UPIS,문화시설,공공도서관,11000NTC201004224794,옥외,0.0,13.0,,,,,
시립은혜로운집,서울특별시 은평구 구산동  172-2,은평구,구산동,11380105,172.0,37.607424877,126.9055024874,KOTSA,U_UPIS,사회복지시설,사회복지시설,11000NTC200806051990,옥외,0.0,173.0,,,,,
구립증산정보도서관,서울특별시 은평구 증산동  173-8,은평구,증산동,11380110,11.0,37.5828078867,126.9076439343,KOTSA,U_UPIS,문화시설,도서관,11000NTC200601269601,옥내,11.0,0.0,,,,,
구립서대문노인전문요양센터,서울특별시 서대문구 홍은동  4,서대문구,홍은동,11410118,10.0,37.5981815118,126.9559911638,KOTSA,U_UPIS,사회복지시설,사회복지시설,11000NTC200602099640,옥외,0.0,10.0,,,,,
